fpga_trigger_id,fpga_tick,has_scope,scope_file_idx,scope_seg_idx,has_digi,digi_evnum,digi_tt_raw,digi_is_1hz,dt_ns
0,10797193411,1,0,0,1,53,6326426312,0,-64.30656433105469
1,10797416898,1,0,1,1,54,6326557259,0,-75.33576011657715
2,10797613523,1,0,2,1,55,6326672469,0,-66.58182144165039
3,10797726361,1,0,3,1,56,6326738584,0,-70.41619300842285
4,10799903000,1,0,4,1,57,6328013948,0,-66.06754302978516
5,10800260765,1,0,5,1,59,6328223574,0,-67.21281051635742
6,10800590106,1,0,6,1,60,6328416545,0,-72.24205017089844
7,10800755436,1,0,7,1,61,6328513418,0,-65.56168556213379
8,10800815710,1,0,8,1,62,6328548735,0,-61.24706268310547
9,10800849321,1,0,9,0,-1,-1,-1,nan
10,10801067426,1,0,10,1,63,6328696223,0,-66.20061874389648
11,10801150848,1,0,11,1,64,6328745103,0,-63.294687271118164
12,10801198235,1,0,12,1,65,6328772868,0,-68.26536178588867
13,10801432896,1,0,13,1,66,6328910364,0,-64.01589393615723
14,10801512280,1,0,14,1,67,6328956877,0,-69.6829605102539
15,10801563616,1,0,15,1,68,6328986957,0,-64.8177719116211
16,10801608931,1,0,16,1,69,6329013508,0,-69.34384346008301
17,10801684125,1,0,17,1,70,6329057568,0,-57.456865310668945
18,10802156078,1,0,18,1,71,6329334100,0,-62.51203536987305
19,10803578298,1,0,19,1,72,6330167424,0,-70.13839721679688
20,10803873681,1,0,20,1,73,6330340499,0,-65.82181930541992
21,10804312372,1,0,21,1,74,6330597542,0,-68.43475341796875
22,10804777264,1,0,22,1,75,6330869937,0,-71.19229316711426
23,10805629254,1,0,23,1,76,6331369146,0,-67.9055118560791
24,10805835781,1,0,24,1,77,6331490157,0,-66.86091423034668
25,10806036614,1,0,25,1,78,6331607832,0,-63.26014518737793
26,10806301998,1,0,26,1,79,6331763329,0,-64.16166305541992
27,10806364020,1,0,27,1,80,6331799670,0,-61.63886070251465
28,10807571911,1,0,28,1,81,6332507412,0,-66.51057243347168
29,10807734726,1,0,29,1,82,6332602810,0,-71.60468101501465
30,10807909747,1,0,30,1,83,6332705361,0,-67.24264144897461
31,10808261765,1,0,31,1,84,6332911619,0,-73.90074729919434
32,10808310001,1,0,32,1,85,6332939883,0,-65.70161819458008
33,10808379305,1,0,33,1,86,6332980491,0,-61.13361358642578
34,10808396396,1,0,34,0,-1,-1,-1,nan
35,10808405126,1,0,35,0,-1,-1,-1,nan
36,10808701766,1,0,36,1,87,6333169430,0,-72.85755157470703
37,10808815079,1,0,37,1,88,6333235824,0,-70.87153434753418
38,10808853558,1,0,38,1,89,6333258370,0,-71.6903305053711
39,10808883453,1,0,39,0,-1,-1,-1,nan
40,10809214247,1,0,40,1,90,6333469710,0,-66.57699584960938
41,10809335503,1,0,41,1,91,6333540758,0,-65.11749267578125
42,10809363076,1,0,42,0,-1,-1,-1,nan
43,10809385798,1,0,43,1,92,6333570227,0,-69.16361808776855
44,10809657242,1,0,44,1,93,6333729275,0,-67.93893814086914
45,10809828919,1,0,45,1,94,6333829867,0,-60.520076751708984
46,10810453490,1,0,46,1,95,6334195823,0,-64.23932075500488
47,10810562940,1,0,47,1,96,6334259953,0,-66.88544273376465
48,10810647956,1,0,48,1,97,6334309766,0,-72.31131553649902
49,10811036802,1,0,49,1,98,6334537604,0,-68.05882453918457
50,10811198948,1,0,50,1,99,6334632610,0,-73.24824333190918
51,10811206804,1,0,51,0,-1,-1,-1,nan
52,10811495752,1,0,52,1,100,6334806518,0,-65.6041145324707
53,10812198339,1,0,53,1,101,6335218186,0,-70.24897575378418
54,10812417835,1,0,54,1,102,6335346797,0,-60.315561294555664
55,10812437514,1,0,55,0,-1,-1,-1,nan
56,10812953842,1,0,56,1,103,6335660860,0,-68.09429168701172
57,10813609425,1,0,57,1,104,6336044987,0,-71.28542900085449
58,10813643634,1,0,58,0,-1,-1,-1,nan
59,10813787981,1,0,59,1,105,6336149610,0,-60.70528030395508
60,10813934552,1,0,60,1,106,6336235490,0,-66.7617130279541
61,10814523636,1,0,61,1,107,6336580653,0,-70.60070037841797
62,10814613339,1,0,62,1,108,6336633213,0,-69.75913047790527
63,10815075560,1,0,63,1,109,6336904043,0,-72.29771614074707
64,10815740199,1,0,64,1,110,6337293477,0,-68.70097160339355
65,10815912274,1,0,65,1,111,6337394301,0,-71.53182983398438
66,10816001232,1,0,66,1,112,6337446425,0,-66.25546455383301
67,10817115001,1,0,67,1,113,6338099018,0,-69.95797157287598
68,10818014494,1,0,68,1,114,6338626060,0,-71.37022972106934
69,10818481193,1,0,69,1,115,6338899514,0,-72.2503662109375
70,10818769073,1,0,70,1,116,6339068193,0,-65.78842163085938
71,10818805769,1,0,71,0,-1,-1,-1,nan
72,10818981372,1,0,72,1,117,6339192586,0,-64.76330757141113
73,10819707787,1,0,73,1,118,6339618216,0,-65.9876823425293
74,10819970681,1,0,74,1,119,6339772254,0,-67.1291732788086
75,10821040425,1,0,75,1,120,6340399052,0,-65.05035400390625
76,10821236663,1,0,76,1,121,6340514033,0,-75.44648170471191
77,10821295331,1,0,77,1,122,6340548409,0,-71.06730461120605
78,10821338116,1,0,78,1,123,6340573478,0,-72.10169792175293
79,10821763002,1,0,79,1,124,6340822433,0,-67.9057788848877
80,10822141994,1,0,80,1,125,6341044496,0,-74.07537460327148
81,10822251514,1,0,81,1,126,6341108668,0,-68.31842422485352
82,10822417863,1,0,82,1,127,6341206138,0,-62.19442367553711
83,10822557269,1,0,83,1,128,6341287820,0,-66.49102210998535
84,10822769489,1,0,84,1,129,6341412166,0,-71.53600692749023
85,10824597823,1,0,85,1,130,6342483447,0,-65.37028312683105
86,10824801080,1,0,86,1,131,6342602541,0,-72.86580085754395
87,10825002218,1,0,87,1,132,6342720395,0,-66.7852783203125
88,10825354851,1,0,88,1,133,6342927014,0,-67.88366317749023
89,10825559831,1,0,89,1,134,6343047118,0,-71.6386890411377
90,10825899147,1,0,90,1,135,6343245934,0,-73.90739440917969
91,10826174421,1,0,91,1,136,6343407227,0,-65.1852798461914
92,10826228481,1,0,92,1,137,6343438902,0,-69.5368480682373
93,10826341702,1,0,93,1,138,6343505241,0,-76.8881893157959
94,10826618372,1,0,94,1,139,6343667352,0,-67.8396224975586
95,10826641577,1,0,95,0,-1,-1,-1,nan
96,10826970677,1,0,96,1,140,6343873779,0,-67.35204696655273
